name,count
Carnegie Mellon University,11
Columbia University,12
Dartmouth College,12
Duke University,12
Massachusetts Institute of Technology,12
Northwestern University,12
University of California Berkeley,11
University of North Carolina Chapel Hill,11
University of Notre Dame,12
University of Virginia,11
University of Wisconsin Madison,10
Vanderbilt University,12
Wake Forest University,11
Washington University St. Louis,12
Lehigh University,11
University of California Santa Barbara,10
University of Miami,10
University of Washington,9
Rice University,12
California Institute of Technology,12
Tufts University,11
Case Western Reserve University,11
University of Rochester,11
Brandeis University,11
University of Michigan Ann Arbor,11
University of Chicago,12
Emory University,11
Johns Hopkins University,11
College of William and Mary,11
University of California San Diego,10
George Washington University,10
New York University,11
Georgia Institute of Technology,10
University of California Irvine,10
Boston College,11
Georgetown University,11
Cornell University,12
Pennsylvania State University,10
Yale University,12
University of Pennsylvania,12
University of California Davis,10
Princeton University,12
University of Illinois Urbana Champaign,10
University of Southern California,11
University of Texas at Austin,10
Stanford University,12
Harvard University,12
