name,count
Carnegie Mellon University,12
Columbia University,8
Dartmouth College,11
Duke University,12
Massachusetts Institute of Technology,12
Northwestern University,7
University of California Berkeley,9
University of North Carolina Chapel Hill,8
University of Notre Dame,11
University of Virginia,6
University of Wisconsin Madison,10
Vanderbilt University,11
Wake Forest University,8
Washington University St. Louis,8
Lehigh University,10
University of California Santa Barbara,8
University of Miami,11
University of Washington,9
Rice University,11
California Institute of Technology,12
Tufts University,8
Case Western Reserve University,11
University of Rochester,7
Brandeis University,8
University of Michigan Ann Arbor,10
University of Chicago,9
Emory University,9
Johns Hopkins University,8
College of William and Mary,8
University of California San Diego,9
George Washington University,6
New York University,8
Georgia Institute of Technology,12
University of California Irvine,8
Boston College,10
Georgetown University,6
Cornell University,9
Pennsylvania State University,9
Yale University,12
University of Pennsylvania,9
University of California Davis,8
Princeton University,11
University of Illinois Urbana Champaign,10
University of Southern California,9
University of Texas at Austin,10
Stanford University,12
Harvard University,12
