name,count
Carnegie Mellon University,7
Columbia University,9
Dartmouth College,9
Duke University,10
Massachusetts Institute of Technology,8
Northwestern University,9
University of California Berkeley,10
University of North Carolina Chapel Hill,9
University of Notre Dame,11
University of Virginia,7
University of Wisconsin Madison,10
Vanderbilt University,9
Wake Forest University,8
Washington University St. Louis,12
Lehigh University,8
University of California Santa Barbara,10
University of Miami,8
University of Washington,9
Rice University,12
California Institute of Technology,5
Tufts University,12
Case Western Reserve University,9
University of Rochester,8
Brandeis University,9
University of Michigan Ann Arbor,11
University of Chicago,11
Emory University,10
Johns Hopkins University,7
College of William and Mary,6
University of California San Diego,9
George Washington University,7
New York University,11
Georgia Institute of Technology,6
University of California Irvine,9
Boston College,10
Georgetown University,9
Cornell University,11
Pennsylvania State University,11
Yale University,11
University of Pennsylvania,7
University of California Davis,11
Princeton University,12
University of Illinois Urbana Champaign,10
University of Southern California,9
University of Texas at Austin,10
Stanford University,11
Harvard University,11
