name,count
Carnegie Mellon University,11
Columbia University,11
Dartmouth College,9
Duke University,9
Massachusetts Institute of Technology,12
Northwestern University,9
University of California Berkeley,11
University of North Carolina Chapel Hill,8
University of Notre Dame,5
University of Virginia,8
University of Wisconsin Madison,8
Vanderbilt University,7
Wake Forest University,5
Washington University St. Louis,8
Lehigh University,6
University of California Santa Barbara,9
University of Miami,12
University of Washington,9
Rice University,12
California Institute of Technology,11
Tufts University,9
Case Western Reserve University,9
University of Rochester,9
Brandeis University,10
University of Michigan Ann Arbor,9
University of Chicago,12
Emory University,11
Johns Hopkins University,10
College of William and Mary,9
University of California San Diego,9
George Washington University,10
New York University,11
Georgia Institute of Technology,9
University of California Irvine,8
Boston College,6
Georgetown University,10
Cornell University,10
Pennsylvania State University,8
Yale University,12
University of Pennsylvania,11
University of California Davis,9
Princeton University,12
University of Illinois Urbana Champaign,9
University of Southern California,11
University of Texas at Austin,10
Stanford University,12
Harvard University,11
