name,count
Carnegie Mellon University,8
Columbia University,8
Dartmouth College,11
Duke University,12
Massachusetts Institute of Technology,10
Northwestern University,9
University of California Berkeley,7
University of North Carolina Chapel Hill,11
University of Notre Dame,11
University of Virginia,9
University of Wisconsin Madison,11
Vanderbilt University,10
Wake Forest University,9
Washington University St. Louis,12
Lehigh University,9
University of California Santa Barbara,8
University of Miami,9
University of Washington,10
Rice University,10
California Institute of Technology,9
Tufts University,8
Case Western Reserve University,6
University of Rochester,9
Brandeis University,6
University of Michigan Ann Arbor,10
University of Chicago,11
Emory University,11
Johns Hopkins University,8
College of William and Mary,9
University of California San Diego,7
George Washington University,6
New York University,9
Georgia Institute of Technology,9
University of California Irvine,10
Boston College,7
Georgetown University,8
Cornell University,11
Pennsylvania State University,11
Yale University,12
University of Pennsylvania,10
University of California Davis,9
Princeton University,12
University of Illinois Urbana Champaign,9
University of Southern California,10
University of Texas at Austin,10
Stanford University,12
Harvard University,12
