name,likes,talking_about_count,were_here_count,State,sun,Well-being
Boston College,83995,7184,165813,Massachusetts,2634,5.37
Brandeis University,14834,739,59263,Massachusetts,2634,5.04
California Institute of Technology,77140,1064,27966,California,3055,4.59
Carnegie Mellon University,62239,2499,0,Pennsylvania,2614,5.12
Case Western Reserve University,13296,893,38684,Ohio,2183,5.93
The College of William and Mary,41762,1723,79011,Virginia,2829,4.8
Columbia University in the City of New York,126212,2224,0,New York,2120,5.39
Cornell University,163351,3614,192302,New York,2120,4.88
Dartmouth,23741,2137,0,New Hampshire,2519,5.01
Duke University,221857,1862,0,North Carolina,2651,4.74
Emory University,46126,1781,78507,Georgia,2986,5.44
The George Washington University,76272,1164,104470,Virginia,2829,5.31
Georgetown University,81163,4164,177146,Virginia,2829,5.69
Georgia Tech,78096,3690,155363,Georgia,2986,4.81
Harvard University,3242534,21305,563599,Massachusetts,2634,4.89
Johns Hopkins University,63822,1925,78872,Maryland,2582,4.57
Lehigh University,8506,282,2754,Pennsylvania,2614,4.91
Massachusetts Institute of Technology (MIT),370023,9950,0,Massachusetts,2634,5.34
New York University,265046,4559,127152,New York,2120,5.44
Northwestern University,76427,5983,0,Illinois,2567,5.66
Penn State,331857,11131,196843,Pennsylvania,2614,4.39
Princeton University,222690,4610,267720,New Jersey,2499,4.98
Rice University,23032,819,27931,Texas,2850,5.37
Stanford University,683980,8503,506589,California,3055,5.04
Tufts University,20613,1599,35314,Massachusetts,2634,4.59
UC Berkeley,230993,9797,0,California,3055,5.12
UC Davis,71178,9188,233571,California,3055,5.93
"University of California, Irvine",42072,3355,163007,California,3055,4.8
UC San Diego,32977,1977,86895,California,3055,5.39
UC Santa Barbara,36347,2284,3577,California,3055,4.88
The University of Chicago,106735,1811,72713,Illinois,2567,5.01
University of Illinois at Urbana-Champaign,131296,7244,288233,Illinois,2567,4.74
University of Miami,214706,2348,7997,Florida,2927,5.44
University of Michigan,565825,10750,64349,Michigan,2392,5.31
The University of North Carolina at Chapel Hill,217680,1372,0,North Carolina,2651,5.69
University of Notre Dame,95896,6689,0,Indiana,2440,4.81
University of Pennsylvania,82883,6575,200640,Pennsylvania,2614,4.89
University of Rochester,24492,697,57933,New York,2120,4.57
University of Southern California,133334,6219,367097,California,3055,4.91
The University of Texas at Austin,524202,11212,385155,Texas,2850,5.34
University of Virginia,97846,2777,0,Virginia,2829,5.44
University of Washington,251394,5952,20124,Washington,2170,5.66
University of Wisconsin-Madison,203857,20687,0,Wisconsin,2428,4.39
Vanderbilt University,73258,1712,0,Tennessee,2510,4.98
Wake Forest University,21065,906,0,North Carolina,2651,5.37
Washington University in St. Louis,30114,2062,0,Missouri,2690,5.04
Yale University,839760,7398,199661,Connecticut,2585,4.59
