name,count
Carnegie Mellon University,9
Columbia University,8
Dartmouth College,9
Duke University,7
Massachusetts Institute of Technology,6
Northwestern University,7
University of California Berkeley,5
University of North Carolina Chapel Hill,7
University of Notre Dame,5
University of Virginia,6
University of Wisconsin Madison,8
Vanderbilt University,8
Wake Forest University,9
Washington University St. Louis,8
Lehigh University,6
University of California Santa Barbara,7
University of Miami,9
University of Washington,7
Rice University,12
California Institute of Technology,9
Tufts University,8
Case Western Reserve University,7
University of Rochester,6
Brandeis University,6
University of Michigan Ann Arbor,7
University of Chicago,5
Emory University,9
Johns Hopkins University,9
College of William and Mary,9
University of California San Diego,8
George Washington University,4
New York University,8
Georgia Institute of Technology,7
University of California Irvine,10
Boston College,11
Georgetown University,11
Cornell University,7
Pennsylvania State University,9
Yale University,6
University of Pennsylvania,9
University of California Davis,9
Princeton University,8
University of Illinois Urbana Champaign,6
University of Southern California,8
University of Texas at Austin,8
Stanford University,9
Harvard University,10
