name,count
Carnegie Mellon University,9
Columbia University,11
Dartmouth College,5
Duke University,10
Massachusetts Institute of Technology,11
Northwestern University,8
University of California Berkeley,8
University of North Carolina Chapel Hill,10
University of Notre Dame,8
University of Virginia,11
University of Wisconsin Madison,12
Vanderbilt University,11
Wake Forest University,9
Washington University St. Louis,8
Lehigh University,12
University of California Santa Barbara,10
University of Miami,11
University of Washington,11
Rice University,12
California Institute of Technology,9
Tufts University,8
Case Western Reserve University,9
University of Rochester,8
Brandeis University,8
University of Michigan Ann Arbor,11
University of Chicago,8
Emory University,10
Johns Hopkins University,9
College of William and Mary,8
University of California San Diego,8
George Washington University,12
New York University,12
Georgia Institute of Technology,9
University of California Irvine,7
Boston College,9
Georgetown University,10
Cornell University,10
Pennsylvania State University,12
Yale University,12
University of Pennsylvania,12
University of California Davis,8
Princeton University,7
University of Illinois Urbana Champaign,12
University of Southern California,11
University of Texas at Austin,12
Stanford University,8
Harvard University,12
