name,count
Carnegie Mellon University,9
Columbia University,11
Dartmouth College,6
Duke University,10
Massachusetts Institute of Technology,9
Northwestern University,11
University of California Berkeley,12
University of North Carolina Chapel Hill,11
University of Notre Dame,11
University of Virginia,12
University of Wisconsin Madison,11
Vanderbilt University,11
Wake Forest University,10
Washington University St. Louis,11
Lehigh University,9
University of California Santa Barbara,9
University of Miami,10
University of Washington,11
Rice University,12
California Institute of Technology,2
Tufts University,9
Case Western Reserve University,9
University of Rochester,9
Brandeis University,6
University of Michigan Ann Arbor,11
University of Chicago,6
Emory University,9
Johns Hopkins University,8
College of William and Mary,8
University of California San Diego,8
George Washington University,10
New York University,12
Georgia Institute of Technology,10
University of California Irvine,8
Boston College,8
Georgetown University,8
Cornell University,11
Pennsylvania State University,10
Yale University,12
University of Pennsylvania,11
University of California Davis,10
Princeton University,4
University of Illinois Urbana Champaign,8
University of Southern California,8
University of Texas at Austin,12
Stanford University,7
Harvard University,5
