name,count
Carnegie Mellon University,10
Columbia University,5
Dartmouth College,7
Duke University,9
Massachusetts Institute of Technology,7
Northwestern University,7
University of California Berkeley,6
University of North Carolina Chapel Hill,8
University of Notre Dame,9
University of Virginia,11
University of Wisconsin Madison,9
Vanderbilt University,6
Wake Forest University,10
Washington University St. Louis,11
Lehigh University,7
University of California Santa Barbara,7
University of Miami,8
University of Washington,7
Rice University,6
California Institute of Technology,8
Tufts University,7
Case Western Reserve University,10
University of Rochester,7
Brandeis University,6
University of Michigan Ann Arbor,8
University of Chicago,9
Emory University,10
Johns Hopkins University,9
College of William and Mary,8
University of California San Diego,9
George Washington University,7
New York University,6
Georgia Institute of Technology,6
University of California Irvine,10
Boston College,3
Georgetown University,3
Cornell University,8
Pennsylvania State University,9
Yale University,5
University of Pennsylvania,9
University of California Davis,10
Princeton University,5
University of Illinois Urbana Champaign,9
University of Southern California,8
University of Texas at Austin,10
Stanford University,4
Harvard University,3
