name,count
Carnegie Mellon University,5
Columbia University,3
Dartmouth College,3
Duke University,7
Massachusetts Institute of Technology,4
Northwestern University,5
University of California Berkeley,4
University of North Carolina Chapel Hill,3
University of Notre Dame,7
University of Virginia,3
University of Wisconsin Madison,4
Vanderbilt University,5
Wake Forest University,4
Washington University St. Louis,7
Lehigh University,6
University of California Santa Barbara,7
University of Miami,6
University of Washington,4
Rice University,9
California Institute of Technology,6
Tufts University,6
Case Western Reserve University,5
University of Rochester,4
Brandeis University,9
University of Michigan Ann Arbor,4
University of Chicago,6
Emory University,5
Johns Hopkins University,5
College of William and Mary,3
University of California San Diego,4
George Washington University,3
New York University,3
Georgia Institute of Technology,5
University of California Irvine,6
Boston College,9
Georgetown University,8
Cornell University,4
Pennsylvania State University,6
Yale University,6
University of Pennsylvania,4
University of California Davis,7
Princeton University,7
University of Illinois Urbana Champaign,5
University of Southern California,6
University of Texas at Austin,4
Stanford University,6
Harvard University,12
