name,count
Carnegie Mellon University,7
Columbia University,6
Dartmouth College,4
Duke University,4
Massachusetts Institute of Technology,8
Northwestern University,6
University of California Berkeley,5
University of North Carolina Chapel Hill,6
University of Notre Dame,8
University of Virginia,6
University of Wisconsin Madison,4
Vanderbilt University,5
Wake Forest University,5
Washington University St. Louis,6
Lehigh University,4
University of California Santa Barbara,5
University of Miami,6
University of Washington,8
Rice University,6
California Institute of Technology,11
Tufts University,6
Case Western Reserve University,6
University of Rochester,5
Brandeis University,7
University of Michigan Ann Arbor,6
University of Chicago,6
Emory University,6
Johns Hopkins University,6
College of William and Mary,7
University of California San Diego,7
George Washington University,6
New York University,5
Georgia Institute of Technology,6
University of California Irvine,9
Boston College,4
Georgetown University,6
Cornell University,5
Pennsylvania State University,6
Yale University,6
University of Pennsylvania,5
University of California Davis,8
Princeton University,6
University of Illinois Urbana Champaign,6
University of Southern California,6
University of Texas at Austin,6
Stanford University,7
Harvard University,7
