name,count
Carnegie Mellon University,10
Columbia University,10
Dartmouth College,11
Duke University,11
Massachusetts Institute of Technology,12
Northwestern University,8
University of California Berkeley,10
University of North Carolina Chapel Hill,10
University of Notre Dame,9
University of Virginia,11
University of Wisconsin Madison,10
Vanderbilt University,11
Wake Forest University,9
Washington University St. Louis,11
Lehigh University,10
University of California Santa Barbara,8
University of Miami,8
University of Washington,9
Rice University,12
California Institute of Technology,10
Tufts University,10
Case Western Reserve University,10
University of Rochester,10
Brandeis University,11
University of Michigan Ann Arbor,10
University of Chicago,12
Emory University,10
Johns Hopkins University,11
College of William and Mary,10
University of California San Diego,6
George Washington University,11
New York University,10
Georgia Institute of Technology,9
University of California Irvine,7
Boston College,6
Georgetown University,9
Cornell University,10
Pennsylvania State University,9
Yale University,12
University of Pennsylvania,11
University of California Davis,6
Princeton University,11
University of Illinois Urbana Champaign,8
University of Southern California,10
University of Texas at Austin,10
Stanford University,12
Harvard University,11
