name,count
Carnegie Mellon University,2614
Columbia University,2120
Dartmouth College,2519
Duke University,2651
Massachusetts Institute of Technology,2634
Northwestern University,2567
University of California Berkeley,3055
University of North Carolina Chapel Hill,2651
University of Notre Dame,2440
University of Virginia,2829
University of Wisconsin Madison,2428
Vanderbilt University,2510
Wake Forest University,2651
Washington University St. Louis,2690
Lehigh University,2614
University of California Santa Barbara,3055
University of Miami,2927
University of Washington,2170
Rice University,2850
California Institute of Technology,3055
Tufts University,2634
Case Western Reserve University,2183
University of Rochester,2120
Brandeis University,2634
University of Michigan Ann Arbor,2392
University of Chicago,2567
Emory University,2986
Johns Hopkins University,2582
College of William and Mary,2829
University of California San Diego,3055
George Washington University,2829
New York University,2120
Georgia Institute of Technology,2986
University of California Irvine,3055
Boston College,2634
Georgetown University,2829
Cornell University,2120
Pennsylvania State University,2614
Yale University,2585
University of Pennsylvania,2614
University of California Davis,3055
Princeton University,2499
University of Illinois Urbana Champaign,2567
University of Southern California,3055
University of Texas at Austin,2850
Stanford University,3055
Harvard University,2634
