name,count
Carnegie Mellon University,5.46321
Columbia University,5.39471
Dartmouth College,5.42773
Duke University,5.40976
Massachusetts Institute of Technology,5.45033
Northwestern University,5.45156
University of California Berkeley,5.43579
University of North Carolina Chapel Hill,5.46904
University of Notre Dame,5.49625
University of Virginia,5.45133
University of Wisconsin Madison,5.37599
Vanderbilt University,5.4683
Wake Forest University,5.4625
Washington University St. Louis,5.42824
Lehigh University,5.4566
University of California Santa Barbara,5.45303
University of Miami,5.45653
University of Washington,5.47666
Rice University,5.16877
California Institute of Technology,5.45709
Tufts University,5.46954
Case Western Reserve University,5.39458
University of Rochester,5.42745
Brandeis University,5.47906
University of Michigan Ann Arbor,5.51557
University of Chicago,5.42899
Emory University,5.45675
Johns Hopkins University,5.44457
College of William and Mary,5.43547
University of California San Diego,5.43549
George Washington University,5.39184
New York University,5.38003
Georgia Institute of Technology,5.41216
University of California Irvine,5.45262
Boston College,5.44951
Georgetown University,5.42987
Cornell University,5.42593
Pennsylvania State University,5.4926
Yale University,5.41864
University of Pennsylvania,5.41789
University of California Davis,5.45997
Princeton University,5.50659
University of Illinois Urbana Champaign,5.45386
University of Southern California,5.43763
University of Texas at Austin,5.43951
Stanford University,5.45294
Harvard University,5.44976
